Title,Available Globally?,Release Date,Hours Viewed,Language Indicator,Content Type,Release Month
King the Land: Limited Series // 킹더랜드: 리미티드 시리즈,Yes,2023-06-17,630200000.0,Korean,Movie,6.0
Queen Charlotte: A Bridgerton Story,Yes,2023-05-04,503000000.0,English,Movie,5.0
Who is Erin Carter?: Limited Series,Yes,2023-08-24,286200000.0,English,Movie,8.0
Lupin: Part 3,Yes,2023-10-05,274300000.0,English,Movie,10.0
Dear Child: Limited Series // Liebes Kind: Miniserie,Yes,2023-09-07,252800000.0,English,Movie,9.0
